Équipe,Ligue,Last_5_FT_Goals,Last_5_MT_Goals,Form_Score,Form_Last_5_Str,Prochain_Match,FT Marque_Record,FT Marque_Annee_Record,FT Marque_EnCours,FT CS_Record,FT CS_Annee_Record,FT CS_EnCours,FT No CS_Record,FT No CS_Annee_Record,FT No CS_EnCours,FT -0.5_Record,FT -0.5_Annee_Record,FT -0.5_EnCours,FT +1.5_Record,FT +1.5_Annee_Record,FT +1.5_EnCours,FT -1.5_Record,FT -1.5_Annee_Record,FT -1.5_EnCours,FT +2.5_Record,FT +2.5_Annee_Record,FT +2.5_EnCours,FT -2.5_Record,FT -2.5_Annee_Record,FT -2.5_EnCours,FT +3.5_Record,FT +3.5_Annee_Record,FT +3.5_EnCours,FT -3.5_Record,FT -3.5_Annee_Record,FT -3.5_EnCours,FT Nuls_Record,FT Nuls_Annee_Record,FT Nuls_EnCours,MT +0.5_Record,MT +0.5_Annee_Record,MT +0.5_EnCours,MT -0.5_Record,MT -0.5_Annee_Record,MT -0.5_EnCours,MT +1.5_Record,MT +1.5_Annee_Record,MT +1.5_EnCours,MT -1.5_Record,MT -1.5_Annee_Record,MT -1.5_EnCours
Club Brugge,Jupiler Pro League (Belgique),"1, 1, 1, 3, 1","0, 0, 1, 2, 1",9.4,"D, V, V, V, V",N/A,32,2025,0,5,2023,0,10,2023,2,1,2025,0,21,2024,0,3,2025,1,8,2021,0,5,2025,1,6,2022,0,12,2023,6,3,2023,0,14,2019,3,4,2021,0,6,2021,0,15,2024,1
Dender,Jupiler Pro League (Belgique),"3, 4, 2, 3, 4","2, 1, 1, 2, 1",-2.6000000000000005,"N, D, N, D, D",N/A,9,2025,5,2,2025,0,8,2024,5,1,2025,0,8,2024,5,3,2025,0,5,2025,2,5,2025,0,3,2025,1,5,2025,0,4,2025,1,9,2024,5,2,2025,0,4,2024,0,9,2025,1
Genk,Jupiler Pro League (Belgique),"3, 4, 2, 1, 2","2, 2, 2, 1, 1",8.600000000000001,"N, V, N, N, V",N/A,19,2021,7,2,2024,0,21,2025,1,1,2025,0,18,2025,1,3,2023,0,7,2020,0,5,2024,3,4,2022,0,10,2025,3,4,2023,1,29,2022,8,4,2025,0,4,2023,0,13,2025,2
Gent,Jupiler Pro League (Belgique),"3, 5, 4, 4, 2","2, 3, 3, 2, 1",3.799999999999999,"N, D, V, D, V",N/A,19,2019,1,3,2024,0,8,2025,2,1,2025,0,18,2019,6,2,2025,0,12,2018,0,5,2021,1,4,2018,0,14,2021,1,4,2022,1,25,2020,6,3,2024,0,5,2025,0,8,2025,1
Mechelen,Jupiler Pro League (Belgique),"4, 4, 2, 4, 2","1, 1, 0, 3, 0",1.4,"N, D, N, V, D",N/A,12,2024,6,3,2020,0,15,2021,5,1,2025,0,18,2023,6,2,2025,0,6,2022,0,4,2025,1,4,2024,0,8,2023,1,4,2025,1,21,2021,0,3,2021,1,5,2025,0,7,2020,1
Oud-Heverlee Leuven,Jupiler Pro League (Belgique),"2, 1, 2, 4, 3","1, 0, 0, 2, 1",11.0,"V, V, N, D, D",N/A,22,2021,3,2,2025,0,14,2021,1,1,2025,0,19,2023,3,4,2025,0,9,2020,2,15,2025,0,3,2025,0,15,2025,1,4,2025,0,20,2023,2,4,2025,0,5,2021,0,10,2025,1
RAAL La Louviere,Jupiler Pro League (Belgique),"0, 0, 2, 3, 4","0, 0, 2, 1, 0",3.4000000000000004,"D, V, N, N, N",N/A,3,2025,3,3,2025,0,3,2025,3,3,2025,0,3,2025,3,3,2025,0,2,2025,2,4,2025,0,1,2025,1,7,2025,0,4,2025,0,3,2025,0,3,2025,1,1,2025,0,6,2025,2
St Truiden,Jupiler Pro League (Belgique),"4, 4, 2, 1, 1","1, 3, 0, 1, 0",12.600000000000001,"V, V, D, N, V",N/A,13,2025,2,3,2022,2,16,2025,0,1,2024,0,25,2025,0,4,2023,2,6,2025,0,5,2023,3,3,2024,0,10,2022,3,4,2018,0,18,2025,0,4,2023,1,5,2019,0,11,2021,3
St. Gilloise,Jupiler Pro League (Belgique),"1, 4, 2, 5, 2","0, 2, 0, 2, 0",13.0,"N, V, V, V, D",N/A,34,2023,4,5,2025,0,10,2023,2,2,2024,0,19,2023,4,4,2025,0,10,2022,0,5,2024,1,5,2023,0,8,2024,1,2,2024,1,20,2023,0,5,2024,1,6,2021,0,10,2024,1
Standard,Jupiler Pro League (Belgique),"1, 1, 4, 4, 1","0, 1, 3, 2, 0",3.000000000000001,"D, V, D, V, D",N/A,14,2019,0,4,2025,0,11,2020,3,3,2025,0,16,2023,0,6,2022,1,6,2024,0,11,2025,1,4,2021,0,20,2025,1,5,2024,0,11,2021,0,5,2024,1,3,2024,0,10,2022,1
Waregem,Jupiler Pro League (Belgique),"0, 5, 2, 5, 4","0, 3, 1, 2, 1",2.6,"N, D, N, V, N",N/A,13,2021,4,2,2025,0,21,2025,4,1,2025,0,34,2021,4,1,2025,0,8,2021,2,3,2023,0,5,2018,2,9,2022,0,3,2023,1,20,2020,4,3,2022,0,4,2023,0,7,2019,1
Westerlo,Jupiler Pro League (Belgique),"2, 0, 2, 1, 2","1, 0, 1, 1, 1",-2.2,"D, D, N, N, V",N/A,20,2023,0,2,2025,0,19,2024,3,2,2023,0,16,2024,1,2,2024,0,8,2024,0,6,2025,6,4,2025,0,6,2025,6,4,2023,0,14,2024,3,2,2024,0,5,2024,0,7,2024,6
Alaves,La Liga,"4, 0, 1, 3, 1","0, 0, 0, 2, 1",1.8000000000000005,"D, V, D, N, V",N/A,10,2018,0,4,2023,0,14,2025,3,2,2023,0,15,2020,0,8,2023,1,5,2022,0,10,2025,1,2,2024,0,17,2025,4,4,2024,0,8,2024,2,6,2023,0,4,2022,0,11,2022,1
Ath Bilbao,La Liga,"3, 0, 1, 5, 1","1, 0, 0, 2, 1",5.0,"V, D, D, N, V",N/A,11,2024,2,5,2025,1,10,2023,0,2,2025,0,10,2024,0,4,2025,1,5,2022,0,11,2019,1,4,2022,0,17,2019,1,5,2021,0,12,2021,2,5,2025,0,3,2023,0,12,2025,1
Ath Madrid,La Liga,"2, 1, 2, 3, 4","1, 0, 2, 0, 2",21.400000000000002,"V, V, V, V, N",N/A,17,2020,14,4,2024,0,8,2024,1,2,2020,0,12,2025,3,3,2021,0,6,2023,2,9,2019,0,4,2022,1,12,2022,0,3,2020,0,14,2024,1,5,2023,0,4,2022,1,15,2022,0
Barcelona,La Liga,"5, 3, 3, 4, 6","3, 2, 3, 3, 5",12.200000000000001,"V, V, D, V, D",N/A,32,2025,32,6,2024,0,11,2018,7,2,2023,0,20,2019,17,3,2023,0,9,2025,9,5,2023,0,4,2022,2,15,2023,0,2,2023,0,18,2024,14,3,2023,0,6,2025,6,10,2023,0
Betis,La Liga,"3, 4, 2, 3, 2","1, 1, 2, 3, 0",7.800000000000001,"N, V, D, N, V",N/A,28,2025,2,4,2022,0,12,2025,1,2,2021,0,13,2020,10,4,2018,0,6,2019,0,7,2023,1,3,2020,0,16,2022,3,6,2021,1,12,2022,0,6,2022,1,6,2025,0,9,2022,1
Celta,La Liga,"2, 2, 5, 3, 6","1, 1, 3, 1, 5",5.8,"D, V, V, N, N",N/A,13,2025,11,3,2023,0,20,2023,14,2,2020,0,19,2021,14,5,2020,0,9,2024,3,9,2019,0,5,2024,1,12,2025,0,5,2025,0,10,2025,6,7,2021,0,5,2024,1,13,2019,0
Elche,La Liga,"4, 0, 1, 4, 2","0, 0, 0, 3, 0",-2.6,"N, D, D, N, D",N/A,21,2025,2,5,2024,0,28,2023,3,1,2025,0,11,2025,2,4,2024,0,4,2024,0,11,2019,1,2,2024,0,15,2019,1,4,2020,1,14,2022,0,6,2024,1,4,2022,0,12,2024,1
Espanol,La Liga,"3, 2, 1, 3, 2","1, 0, 0, 2, 1",1.0,"D, D, V, V, D",N/A,15,2023,0,6,2020,0,12,2024,2,2,2024,0,12,2022,2,4,2021,0,8,2022,0,8,2020,1,4,2021,0,23,2020,6,5,2024,0,16,2020,2,5,2020,0,6,2023,0,16,2019,1
Getafe,La Liga,"3, 1, 1, 3, 1","2, 0, 0, 0, 1",3.4,"D, V, V, D, D",N/A,8,2019,0,4,2020,0,10,2019,2,2,2024,0,12,2025,0,4,2024,1,5,2025,0,13,2024,1,3,2023,0,34,2025,19,5,2023,0,14,2024,1,8,2020,0,3,2022,0,16,2024,4
Girona,La Liga,"3, 3, 6, 3, 1","1, 2, 1, 0, 1",6.199999999999999,"V, D, N, D, V",N/A,15,2023,5,4,2020,1,19,2023,0,2,2020,0,14,2023,0,3,2025,1,6,2021,0,12,2021,1,4,2025,0,15,2021,2,4,2020,0,11,2024,1,5,2021,0,4,2023,0,18,2019,3
Levante,La Liga,"2, 3, 2, 3, 4","1, 2, 1, 1, 2",-4.6000000000000005,"D, D, N, D, V",N/A,13,2022,3,4,2022,0,17,2020,4,2,2024,0,14,2022,12,3,2023,0,9,2020,2,9,2021,0,6,2019,1,12,2020,0,5,2020,0,9,2025,9,3,2024,0,4,2021,1,15,2025,0
Mallorca,La Liga,"3, 4, 2, 3, 1","1, 1, 1, 3, 1",7.3999999999999995,"V, D, N, V, D",N/A,13,2019,1,7,2020,1,14,2020,0,2,2020,0,9,2020,0,5,2024,1,7,2019,0,10,2023,1,3,2023,0,17,2025,3,4,2021,0,13,2021,6,5,2024,0,4,2023,0,13,2023,1
Osasuna,La Liga,"3, 1, 5, 0, 1","2, 0, 3, 0, 0",-2.5999999999999996,"D, N, D, D, V",N/A,21,2019,0,4,2019,0,11,2025,1,3,2021,0,10,2023,0,3,2025,2,4,2024,0,8,2025,2,3,2024,0,27,2023,2,4,2024,0,12,2024,0,4,2024,2,4,2021,0,15,2023,2
Oviedo,La Liga,"2, 2, 6, 0, 1","1, 0, 1, 0, 1",-0.6000000000000001,"D, N, N, D, D",N/A,11,2024,0,6,2023,0,13,2020,1,2,2021,0,12,2025,0,5,2022,2,6,2024,0,8,2019,2,4,2024,0,26,2025,2,5,2021,0,9,2025,1,5,2023,0,4,2024,0,14,2021,8
Real Madrid,La Liga,"4, 1, 3, 4, 0","0, 0, 3, 3, 0",17.400000000000002,"N, V, V, V, V",N/A,27,2025,0,5,2020,2,8,2019,0,2,2019,1,21,2025,0,3,2025,1,7,2025,0,5,2021,1,3,2025,0,9,2020,1,3,2024,1,11,2022,0,4,2022,1,5,2022,0,9,2020,1
Sevilla,La Liga,"5, 4, 3, 3, 1","3, 1, 3, 0, 0",3.0,"V, D, D, D, V",N/A,21,2020,1,5,2021,1,11,2023,0,1,2025,0,14,2020,0,3,2024,1,6,2018,0,8,2019,1,3,2022,0,15,2020,3,5,2023,0,7,2025,0,4,2022,2,4,2024,0,10,2021,2
Sociedad,La Liga,"1, 2, 3, 5, 2","0, 1, 3, 2, 0",9.4,"N, V, V, N, D",N/A,15,2022,4,4,2022,0,11,2020,6,2,2024,0,8,2020,4,4,2024,0,8,2020,0,8,2023,1,3,2024,0,32,2025,1,4,2020,1,11,2022,0,6,2021,1,3,2023,0,16,2021,1
Valencia,La Liga,"3, 0, 2, 4, 2","1, 0, 1, 3, 0",-2.6,"N, D, D, N, D",N/A,20,2020,1,3,2024,0,10,2025,3,2,2019,0,11,2019,3,5,2024,0,6,2022,0,9,2018,1,3,2021,0,19,2023,1,4,2019,1,11,2023,0,6,2022,1,4,2021,0,13,2025,1
Vallecano,La Liga,"1, 3, 1, 4, 0","0, 2, 0, 1, 0",9.8,"N, D, V, V, V",N/A,17,2019,0,3,2025,1,14,2023,0,2,2024,1,17,2023,0,4,2025,1,11,2023,0,11,2020,1,4,2020,0,27,2024,1,5,2020,1,10,2019,0,5,2022,1,4,2020,0,16,2024,3
Villarreal,La Liga,"4, 4, 2, 4, 2","0, 1, 1, 1, 1",18.2,"V, V, V, N, D",N/A,24,2023,8,5,2022,3,14,2024,0,2,2021,0,20,2024,5,4,2018,0,8,2021,0,5,2022,1,4,2023,0,15,2023,1,4,2021,0,20,2024,4,6,2018,0,5,2025,0,11,2020,10
Albacete,La Liga 2,"0, 1, 4, 3, 5","0, 1, 2, 1, 1",2.6000000000000005,"D, V, D, V, N",N/A,19,2024,4,4,2018,0,16,2020,3,2,2025,0,23,2023,3,5,2024,0,5,2022,3,6,2019,0,4,2025,1,14,2022,0,4,2025,0,10,2024,4,5,2024,0,4,2024,0,16,2025,2
Almeria,La Liga 2,"2, 6, 2, 1, 4","1, 0, 2, 0, 3",16.2,"V, V, N, V, N",N/A,18,2025,13,4,2022,0,15,2023,1,2,2019,0,14,2024,1,3,2022,0,9,2024,1,6,2020,0,5,2020,1,19,2020,0,3,2025,0,12,2024,1,5,2019,0,4,2024,1,12,2019,0
Andorra,La Liga 2,"3, 0, 5, 0, 4","1, 0, 1, 0, 2",2.2000000000000006,"N, N, D, N, D",N/A,6,2023,1,4,2023,0,10,2023,1,2,2023,0,9,2025,1,4,2024,0,3,2025,1,10,2024,0,1,2025,1,16,2024,0,2,2025,2,5,2022,1,4,2022,0,2,2025,1,19,2024,0
Burgos,La Liga 2,"1, 4, 1, 3, 0","0, 3, 0, 3, 0",13.4,"N, V, V, V, D",N/A,8,2025,0,12,2022,1,12,2024,0,4,2022,1,7,2023,0,10,2022,1,6,2024,0,11,2022,1,3,2025,0,19,2022,3,4,2022,1,7,2023,0,9,2025,1,2,2025,0,20,2022,1
Cadiz,La Liga 2,"1, 4, 0, 0, 0","0, 3, 0, 0, 0",7.4,"N, N, N, D, V",N/A,9,2021,0,3,2025,3,11,2020,0,3,2025,3,9,2021,0,5,2025,3,6,2021,0,8,2023,3,3,2021,0,21,2020,3,5,2023,3,10,2021,0,6,2023,3,6,2021,0,20,2019,3
Castellon,La Liga 2,"0, 1, 1, 3, 0","0, 1, 0, 0, 0",4.6,"N, V, D, D, N",N/A,9,2024,0,3,2024,1,20,2025,0,1,2025,1,9,2024,0,3,2025,1,6,2025,0,5,2021,1,5,2025,0,14,2024,5,3,2025,1,11,2025,0,3,2025,3,6,2025,0,15,2024,5
Ceuta,La Liga 2,"1, 0, 2, 1, 2","1, 0, 2, 1, 2",9.4,"D, V, V, N, V",N/A,4,2025,0,6,2025,0,5,2025,1,1,2025,0,3,2025,1,4,2025,0,3,2025,0,7,2025,7,1,2025,0,7,2025,7,1,2025,0,5,2025,3,2,2025,0,1,2025,1,4,2025,0
Cordoba,La Liga 2,"1, 2, 4, 2, 4","1, 2, 2, 2, 0",12.600000000000001,"N, V, V, N, V",N/A,13,2025,10,2,2025,0,13,2019,1,1,2025,0,15,2025,4,2,2025,0,7,2025,1,4,2025,0,2,2025,1,5,2025,0,3,2025,1,8,2025,0,3,2024,1,3,2025,0,6,2024,1
Cultural Leonesa,La Liga 2,"1, 5, 1, 5, 3","1, 2, 1, 2, 2",3.8000000000000007,"D, V, D, V, D",N/A,3,2025,0,2,2025,0,3,2025,3,1,2025,0,2,2025,2,3,2025,0,2,2025,2,3,2025,0,2,2025,0,3,2025,1,1,2025,0,5,2025,5,3,2025,0,2,2025,2,3,2025,0
Eibar,La Liga 2,"0, 4, 0, 4, 5","0, 1, 0, 3, 1",5.799999999999999,"V, D, N, D, N",N/A,12,2023,2,4,2023,0,16,2021,2,2,2022,0,12,2023,2,4,2024,0,7,2020,2,9,2024,0,3,2023,2,26,2023,0,5,2025,0,10,2020,2,4,2025,0,4,2021,0,11,2023,1
Granada,La Liga 2,"0, 0, 0, 3, 4","0, 0, 0, 1, 2",8.2,"V, D, N, N, N",N/A,15,2024,2,4,2023,0,18,2023,2,3,2025,0,11,2020,2,4,2022,0,7,2025,2,6,2023,0,4,2022,1,27,2019,0,4,2024,0,12,2024,2,6,2022,0,4,2021,1,9,2020,0
Huesca,La Liga 2,"1, 2, 3, 2, 4","0, 1, 1, 1, 2",-3.4000000000000004,"N, D, D, N, D",N/A,10,2025,1,8,2024,0,20,2019,8,2,2024,0,12,2020,4,7,2019,0,6,2019,1,13,2023,0,4,2019,1,26,2023,0,4,2023,1,10,2019,4,5,2024,0,3,2023,1,17,2022,0
La Coruna,La Liga 2,"3, 3, 2, 2, 3","2, 2, 1, 0, 2",13.4,"V, V, N, D, D",N/A,10,2024,4,3,2019,2,9,2024,0,2,2024,0,10,2018,9,3,2019,0,4,2025,1,6,2019,0,3,2019,0,13,2019,7,4,2019,0,7,2025,1,4,2025,0,4,2025,1,10,2024,0
Las Palmas,La Liga 2,"0, 4, 2, 0, 4","0, 1, 1, 0, 4",13.4,"V, N, N, V, N",N/A,12,2022,1,6,2023,0,13,2025,1,2,2020,0,10,2024,1,5,2023,0,4,2024,1,8,2023,0,2,2025,1,25,2024,0,4,2024,0,12,2021,1,5,2023,0,5,2019,1,25,2024,0
Leganes,La Liga 2,"0, 2, 0, 3, 3","0, 1, 0, 3, 2",-0.20000000000000018,"D, D, N, V, N",N/A,8,2022,2,5,2023,0,11,2019,2,4,2024,0,8,2022,2,4,2024,0,5,2019,2,8,2023,0,2,2025,0,27,2019,10,5,2024,0,8,2023,2,6,2020,0,3,2025,2,14,2023,0
Malaga,La Liga 2,"3, 2, 5, 3, 4","2, 1, 1, 0, 0",3.3999999999999995,"N, D, V, D, V",N/A,10,2025,3,6,2024,0,9,2022,4,2,2024,0,7,2025,7,6,2024,0,4,2022,3,8,2023,0,2,2022,1,25,2021,0,4,2024,1,13,2020,0,4,2022,2,2,2025,0,29,2019,4
Mirandes,La Liga 2,"0, 2, 4, 5, 3","0, 2, 2, 2, 1",0.19999999999999973,"V, D, D, D, N",N/A,11,2023,3,5,2024,0,14,2022,4,2,2024,0,12,2019,4,5,2024,0,6,2023,3,11,2024,0,2,2025,0,16,2021,1,7,2020,0,14,2022,4,5,2021,0,4,2022,0,18,2024,1
Santander,La Liga 2,"3, 3, 4, 1, 4","1, 2, 2, 1, 4",8.200000000000001,"D, V, V, V, D",N/A,17,2025,15,4,2022,0,16,2025,1,2,2019,0,18,2025,1,4,2022,0,13,2025,1,9,2022,0,6,2025,1,39,2023,0,4,2022,0,10,2025,5,4,2022,0,3,2025,1,11,2022,0
Sociedad B,La Liga 2,"3, 1, 1, 2, 3","1, 0, 1, 1, 2",9.4,"V, V, D, D, V",N/A,7,2025,2,3,2021,0,12,2021,1,2,2021,0,11,2022,2,4,2021,0,4,2025,1,4,2021,0,3,2022,0,10,2021,5,2,2025,0,7,2025,3,4,2021,0,2,2025,1,10,2022,0
Sp Gijon,La Liga 2,"3, 5, 1, 0, 3","1, 2, 1, 0, 1",7.4,"D, N, V, V, V",N/A,12,2024,1,4,2021,0,14,2025,1,2,2025,0,10,2024,1,8,2021,0,6,2025,1,13,2023,0,3,2024,0,24,2020,3,6,2025,0,8,2023,1,5,2021,0,2,2025,0,20,2021,3
Valladolid,La Liga 2,"1, 5, 2, 3, 0","0, 2, 1, 1, 0",7.8,"N, V, N, D, V",N/A,17,2022,0,7,2024,1,19,2025,0,2,2024,1,15,2021,0,5,2022,1,7,2025,0,9,2023,1,4,2025,0,15,2023,3,4,2021,1,11,2023,0,5,2019,1,4,2025,0,15,2024,3
Zaragoza,La Liga 2,"6, 5, 1, 2, 4","0, 2, 1, 0, 2",-9.0,"D, D, D, D, D",N/A,10,2023,1,4,2023,0,12,2020,6,2,2023,0,10,2022,2,5,2020,0,6,2024,1,11,2021,0,2,2025,1,19,2021,0,9,2021,0,9,2024,1,7,2021,0,4,2020,1,14,2022,0
AVS,Liga (Portugal),"3, 4, 2, 4, 2","3, 2, 0, 2, 1",-1.8,"N, N, D, D, D",N/A,5,2024,2,1,2025,0,12,2025,12,1,2024,0,7,2025,7,2,2025,0,4,2025,0,7,2025,1,2,2024,0,7,2025,1,5,2025,2,4,2025,2,3,2025,0,2,2025,0,6,2024,1
Alverca,Liga (Portugal),"2, 4, 4, 2, 2","1, 2, 2, 0, 1",1.0000000000000002,"N, D, D, V, V",N/A,6,2025,1,1,2025,0,4,2025,4,0,N/A,0,6,2025,6,1,2025,0,4,2025,0,2,2025,2,2,2025,0,4,2025,2,1,2025,1,9,2025,1,1,2025,0,4,2025,0,2,2025,2
Arouca,Liga (Portugal),"4, 2, 5, 2, 7","1, 0, 3, 2, 4",-5.4,"D, D, D, N, D",N/A,11,2025,1,3,2023,0,13,2025,13,1,2025,0,13,2025,13,3,2023,0,10,2024,1,16,2023,0,4,2025,1,17,2023,0,3,2025,0,12,2024,3,5,2023,0,3,2025,3,15,2023,0
Benfica,Liga (Portugal),"3, 0, 5, 3, 4","3, 0, 3, 0, 1",15.8,"N, V, V, N, V",N/A,25,2025,3,7,2021,0,6,2020,1,1,2025,0,24,2021,3,3,2022,0,10,2025,3,10,2021,0,8,2019,1,18,2021,0,4,2020,1,14,2020,1,3,2021,0,6,2024,0,10,2024,2
Casa Pia,Liga (Portugal),"3, 4, 4, 8, 4","2, 3, 2, 3, 1",-1.7999999999999998,"N, D, D, N, D",N/A,11,2025,2,3,2024,0,9,2024,6,2,2023,0,13,2025,13,3,2024,0,5,2025,5,8,2023,0,4,2025,4,11,2023,0,2,2024,1,8,2025,5,4,2024,0,5,2025,0,17,2023,1
Estoril,Liga (Portugal),"1, 4, 2, 4, 7","1, 3, 1, 2, 4",14.6,"V, V, N, N, D",N/A,18,2024,4,3,2024,0,10,2023,1,2,2024,0,18,2025,4,4,2024,0,6,2025,2,7,2022,0,4,2024,2,8,2022,0,3,2021,0,8,2025,7,4,2024,0,5,2024,2,7,2023,0
Estrela,Liga (Portugal),"3, 2, 3, 8, 2","3, 2, 1, 3, 1",5.4,"N, V, D, D, V",N/A,5,2023,3,2,2025,0,10,2024,4,1,2025,0,5,2025,5,3,2025,0,4,2024,0,6,2025,1,2,2024,0,13,2025,1,3,2025,1,6,2025,5,4,2025,0,4,2024,0,14,2024,1
Famalicao,Liga (Portugal),"0, 2, 2, 1, 1","0, 0, 1, 1, 1",7.800000000000001,"D, V, V, N, N",N/A,15,2025,0,5,2025,0,13,2020,1,2,2024,0,13,2020,0,5,2022,2,12,2020,0,6,2025,6,4,2022,0,18,2025,18,4,2024,0,8,2020,3,4,2024,0,6,2022,0,10,2023,6
Gil Vicente,Liga (Portugal),"3, 2, 4, 1, 2","3, 2, 2, 1, 1",14.2,"N, V, V, V, D",N/A,9,2023,8,4,2025,0,14,2025,1,2,2024,0,10,2023,1,5,2023,0,7,2024,0,8,2025,2,3,2023,0,15,2025,2,4,2024,1,7,2025,7,4,2024,0,3,2025,0,13,2025,2
Guimaraes,Liga (Portugal),"2, 3, 2, 3, 1","1, 1, 1, 0, 0",4.199999999999999,"V, D, D, V, D",N/A,12,2020,1,4,2021,1,20,2022,0,2,2025,0,15,2025,0,5,2020,1,6,2021,0,6,2025,1,5,2025,0,13,2019,9,5,2025,0,11,2021,0,7,2021,2,7,2021,0,13,2022,5
Moreirense,Liga (Portugal),"3, 5, 3, 2, 3","2, 2, 2, 2, 1",0.6000000000000005,"D, V, D, D, V",N/A,10,2020,5,4,2023,0,19,2020,1,1,2025,0,13,2021,9,5,2024,0,7,2021,1,10,2020,0,3,2024,0,13,2021,3,4,2019,0,7,2022,5,4,2025,0,4,2025,0,15,2022,1
Nacional,Liga (Portugal),"1, 5, 2, 1, 2","1, 2, 1, 1, 1",3.4,"N, D, N, V, V",N/A,6,2021,1,2,2021,0,10,2021,4,1,2024,0,9,2025,1,3,2025,0,5,2021,0,5,2024,3,3,2019,0,12,2024,3,2,2020,1,9,2024,5,2,2024,0,4,2025,0,7,2025,3
Porto,Liga (Portugal),"4, 0, 3, 3, 1","1, 0, 2, 1, 1",17.0,"V, V, V, N, V",N/A,43,2022,3,5,2022,1,6,2024,0,1,2025,0,21,2025,0,2,2023,1,8,2021,0,7,2018,1,5,2022,0,13,2023,4,3,2025,0,21,2022,3,4,2024,0,5,2024,0,9,2025,2
Rio Ave,Liga (Portugal),"0, 3, 3, 4, 2","0, 2, 1, 2, 1",5.8,"N, D, V, V, N",N/A,16,2019,1,3,2020,0,17,2025,3,2,2024,0,16,2023,4,4,2022,0,8,2019,0,12,2020,1,3,2025,0,13,2020,1,5,2025,1,12,2025,4,4,2024,0,4,2019,0,11,2022,1
Santa Clara,Liga (Portugal),"3, 3, 2, 1, 3","0, 1, 0, 1, 2",-3.0000000000000004,"D, D, V, D, D",N/A,12,2022,1,4,2019,0,16,2023,2,2,2022,0,10,2021,1,4,2024,0,5,2021,1,11,2025,0,4,2018,0,27,2025,27,3,2022,0,15,2022,2,5,2025,0,3,2024,1,15,2022,0
Sp Braga,Liga (Portugal),"1, 2, 4, 3, 3","1, 1, 2, 1, 1",7.799999999999999,"V, D, V, N, D",N/A,16,2025,4,5,2022,0,10,2023,2,2,2021,0,13,2023,4,5,2022,0,7,2023,3,5,2022,0,4,2023,0,14,2025,2,2,2025,0,19,2025,19,4,2022,0,5,2022,0,12,2019,2
Sp Lisbon,Liga (Portugal),"1, 2, 3, 2, 3","1, 1, 1, 0, 2",17.8,"V, V, V, N, V",N/A,53,2024,30,7,2024,0,9,2019,1,1,2024,0,34,2022,4,2,2024,0,7,2024,1,6,2021,0,5,2025,0,18,2021,8,3,2025,0,17,2024,1,4,2020,0,6,2024,1,16,2021,0
Tondela,Liga (Portugal),"3, 3, 3, 4, 1","0, 2, 1, 2, 0",-4.2,"D, N, D, D, V",N/A,6,2022,0,2,2020,0,31,2025,5,1,2025,0,14,2021,0,6,2019,1,8,2021,0,6,2019,1,4,2022,0,14,2020,1,2,2022,0,8,2020,0,3,2022,1,4,2022,0,6,2020,1
Angers,Ligue 1,"2, 2, 4, 1, 2","0, 1, 1, 1, 0",8.2,"V, D, N, V, N",N/A,10,2021,1,4,2020,1,13,2023,0,1,2024,0,12,2019,1,5,2019,0,7,2023,0,9,2020,2,5,2022,0,16,2025,2,5,2019,0,11,2022,0,3,2025,1,7,2020,0,11,2025,6
Auxerre,Ligue 1,"4, 1, 3, 1, 2","2, 0, 0, 1, 0",-8.200000000000001,"D, D, D, D, N",N/A,22,2022,0,5,2019,0,11,2023,7,2,2019,0,13,2020,1,4,2019,0,9,2024,0,6,2021,2,3,2025,0,16,2023,4,4,2021,0,12,2024,0,3,2025,1,8,2024,0,12,2018,4
Brest,Ligue 1,"6, 3, 1, 0, 3","3, 2, 0, 0, 2",-2.9999999999999996,"D, N, D, D, N",N/A,17,2021,0,4,2024,0,15,2022,1,1,2025,0,16,2021,1,2,2025,0,6,2018,1,7,2019,0,5,2024,0,13,2019,4,3,2024,0,14,2025,1,3,2024,0,6,2018,1,9,2022,0
Le Havre,Ligue 1,"8, 1, 1, 0, 2","2, 0, 0, 0, 1",9.8,"N, N, V, V, D",N/A,18,2025,1,6,2023,0,15,2025,1,2,2023,0,18,2025,1,5,2023,0,6,2025,0,18,2021,4,3,2025,0,18,2021,4,4,2021,2,11,2025,1,7,2021,0,6,2025,0,20,2021,4
Lens,Ligue 1,"3, 3, 2, 3, 5","2, 2, 0, 1, 4",15.4,"V, V, D, V, V",N/A,20,2023,2,5,2023,0,13,2021,1,3,2019,0,13,2021,6,6,2022,0,6,2023,2,11,2019,0,4,2021,1,11,2022,0,5,2024,0,24,2023,2,6,2020,0,4,2021,1,11,2022,0
Lille,Ligue 1,"2, 7, 2, 1, 2","1, 2, 1, 1, 1",5.000000000000001,"D, V, D, V, V",N/A,22,2020,0,7,2022,0,13,2022,1,1,2025,0,13,2022,1,3,2025,0,7,2022,0,10,2023,3,3,2022,0,15,2020,3,3,2025,0,16,2022,5,5,2019,0,5,2022,0,10,2020,3
Lorient,Ligue 1,"6, 2, 2, 3, 2","3, 1, 0, 1, 1",-1.4000000000000004,"N, D, N, D, N",N/A,17,2021,1,4,2018,0,12,2024,10,1,2025,0,11,2025,11,3,2023,0,7,2024,0,6,2025,1,3,2025,0,10,2019,4,3,2021,1,7,2021,2,3,2024,0,5,2021,0,7,2024,4
